hs_code,대분류 선택                                           
2518,백운석(白雲石)[하소(燒)한것인지또는소결(燒結)한것인지에상관없으며톱질이나그밖의방법으로거칠게다듬거나단순히절단하여직사각형(정사각형을포함한다)의블록모양이나슬래브모양으로한것을포함한다]과응결(凝結)백운석(白雲石)
2519,"천연탄산마그네슘(마그네사이트),용융(溶融)마그네시아,소결(燒結)한마그네시아[소결(燒結)하기전에첨가된기타산화물을소량함유한것인지에상관없다],그밖의산화마그네슘(순수한것인지에상관없다)"
2520,"석고,무수(無水)석고,플라스터(plaster)[하소(燒)한석고나황산칼슘을원료로한것으로서착색한것인지또는촉진제나지연제를소량첨가한것인지에상관없다]"
2521,"석회석  융제 ,석회석 ,기타  석회질암석 (석회 .시멘트제조용 )"
2522,"생석회(生石灰),소석회(消石灰),수경성(水硬性)석회(제2825호의산화칼슘과수산화칼슘은제외한다)"
2523,포틀랜드(Portland)시멘트ㆍ알루미나(aluminous)시멘트ㆍ슬래그(slag)시멘트ㆍ슈퍼설페이트(supersulphate)시멘트와이와유사한수경성(水硬性)시멘트[착색한것인지또는클링커(clinker)형태로된것인지에상관없다]
2525,운모(쪼갠것을포함한다)와운모웨이스트(waste)
2526,천연동석(凍石)[톱질이나그밖의방법으로거칠게다듬거나단순히절단하여직사각형(정사각형을포함한다)의블록모양이나슬래브모양으로한것인지에상관없다]과활석
2529,"장석(長石),백류석(白榴石),하석(霞石)과하석섬장암(霞石閃長巖),형석(螢石)"
2530,따로분류되지않은광물
2601,철광과그정광(精鑛)[배소(焙燒)한황화철광을포함한다]
2603,동광과  그  정광
2606,알루미늄광과  그  정광
2608,아연광과  그  정광
2609,주석광과  그  정광
2613,몰리브덴광과그정광(精鑛)
2614,티타늄광과  그  정광
2620,"슬래그(slag),회(灰),잔재물(금속ㆍ비소나이들의화합물을함유한것으로한정하며,철강을제조할때생기는것은제외한다)"
2621,"그밖의슬래그(slag)와회(灰)[해초의회(켈프)를포함한다],생활폐기물의소각으로생기는회(灰)와잔재물"
2704,"코크스 ,반성코크 ,레토르트  카아본"
2706,"석탄 .갈탄 .토탄의  타르 ,기타  광물성타르"
2707,고온콜타르(coaltar)의증류물과그밖에이와유사한물품[방향족(芳香族)성분의중량이비방향족(非芳香族)성분의중량을초과하는것으로한정한다]
2708,피치(pitch)와피치코크스[콜타르(coaltar)나그밖의광물성타르에서얻은것으로한정한다]
2710,"석유와역청유(瀝靑油)(원유는제외한다),따로분류되지않은조제품[석유나역청유(瀝靑油)의함유량이전중량의100분의70이상인것으로서조제품의기초성분이석유나역청유(瀝靑油)인것으로한정한다],웨이스트오일(wasteoil)"
2711,석유가스와그밖의가스상태의탄화수소
2712,"석유젤리ㆍ파라핀왁스ㆍ마이크로크리스털린(microcrystalline)석유왁스ㆍ슬랙왁스(slackwax)ㆍ오조케라이트(ozokerite)ㆍ갈탄왁스ㆍ토탄왁스,그밖의광물성왁스와합성이나그밖의공정에따라얻은이와유사한물품(착색한것인지에상관없다)"
2713,석유코크스ㆍ석유역청(瀝靑)과그밖의석유나역청유(瀝靑油)의잔재물
2715,"역청질혼합물 (천연 .석유아스팔트 ,광물성  타르 .타르피치를  기재로한것 )"
2801,플루오르ㆍ염소ㆍ브롬ㆍ요드
2802,"승화  황 ,침강  황 ,콜로이드  황"
2803,"탄소 (카아본블랙 ,기타  탄소물품포함 )"
2804,수소ㆍ희가스(raregas)와그밖의비(非)금속원소
2805,"알칼리금속ㆍ알칼리토류금속,희토류(稀土類)금속,스칸듐과이트륨(상호혼합된것인지또는상호합금된것인지에상관없다),수은"
2806,염화수소(염산)와클로로황산
2807,황산과  발연황산
2808,"질산 ,황질산"
2809,"오산화인,인산,폴리인산(화학적으로단일한것인지에상관없다)"
2810,"붕소의  산화물 ,붕산"
2811,그밖의무기산과무기비(非)금속산화물
2812,비(非)금속할로겐화물과산화할로겐화물
2814,무수(無水)암모니아나암모니아수
2815,"수산화나트륨[가성(苛性)소다],수산화칼륨[가성(苛性)칼륨],과산화나트륨ㆍ과산화칼륨"
